num_lectures,price,days_since_published,content_duration
19,35,2595,2.0
27,0,2475,3.0
9,20,2237,0.7333333333333333
188,200,2316,22.5
69,0,2362,5.0
20,40,2282,1.5
163,50,2420,10.5
48,20,3110,12.5
8,25,1949,2.0
12,20,2329,2.5
9,50,1938,2.0
195,20,3647,18.0
8,0,2144,1.0
20,200,2342,4.0
9,45,2072,1.0
14,20,3055,1.5
16,50,3098,4.0
19,150,2223,2.0
17,20,2541,3.0
8,0,2996,0.5833333333333334
22,50,2472,1.5
53,0,2672,3.0
33,95,2789,2.5
10,0,1944,2.0
10,20,3236,0.6333333333333333
83,100,2314,5.0
17,50,2538,0.6333333333333333
79,50,2644,15.0
56,50,2184,1.5
19,50,3147,3.0
32,20,2511,2.0
62,40,2504,3.5
16,20,2701,1.5
20,30,2217,1.5
86,95,2000,12.0
13,75,1942,2.5
33,50,3082,3.5
8,20,2161,1.0
45,60,2434,1.0
9,20,2083,1.0
13,20,2491,1.0
158,150,2134,30.0
24,85,2155,0.65
24,200,1993,3.0
37,200,1976,6.0
20,20,2065,2.0
17,0,2033,1.5
22,50,3147,4.0
25,25,2229,1.0
18,20,2725,2.0
20,200,2473,2.5
6,20,1980,0.5333333333333333
36,195,2616,3.5
29,195,2369,2.5
9,45,2446,2.0
16,200,2026,1.0
154,20,2555,14.5
4,35,2576,0.55
8,30,2119,2.0
59,95,1980,4.5
15,50,2218,1.5
26,95,2057,2.5
104,115,2676,5.5
29,100,1971,1.5
13,95,2112,1.0
22,150,2417,1.5
88,200,2190,7.0
35,25,3189,8.5
304,200,2420,30.5
10,95,2119,1.0
53,55,2874,3.0
5,20,3140,1.0
19,35,2007,1.0
103,195,2033,6.5
24,50,2481,3.5
14,80,2697,0.5
27,20,2600,3.0
49,50,2001,3.0
19,105,2862,2.0
75,50,3568,12.5
55,30,2195,4.5
5,20,2841,0.55
171,65,2105,19.0
235,100,2238,19.5
48,30,2441,3.0
12,25,2042,0.5
16,25,3265,4.5
19,20,2763,2.5
37,0,2155,2.5
104,110,2463,14.0
39,20,2613,4.0
7,40,2159,0.5833333333333334
6,0,2815,1.5
7,20,1980,1.0
7,40,2349,1.5
19,30,1993,3.0
26,50,2139,1.0
88,50,2852,6.0
51,50,3337,7.5
23,0,2326,2.0
10,20,2008,2.5
14,20,3552,1.5
9,20,2337,1.0
47,40,2543,0.7333333333333333
74,20,2511,4.0
14,0,2983,1.0
86,50,3142,5.5
13,20,2525,3.5
8,20,2865,0.6
31,0,2609,1.5
29,20,3313,2.5
39,25,3040,2.0
15,20,2538,2.5
6,20,3054,0.4833333333333333
32,195,3132,14.0
24,50,3177,5.5
19,0,1974,2.5
8,20,2470,0.6166666666666667
16,35,3158,2.0
91,100,2182,4.0
35,20,3223,2.5
52,25,3374,10.5
18,20,2700,1.0
6,20,2616,1.0
150,180,2491,26.5
29,50,3107,14.5
16,195,2756,2.0
31,0,2642,6.5
9,20,2953,1.0
110,95,2815,2.5
88,50,2550,10.5
27,25,2078,2.5
194,150,2425,9.5
61,50,2747,2.5
34,85,2893,2.0
20,20,2238,0.6333333333333333
19,80,2147,2.0
38,35,2304,3.0
129,200,2652,11.0
50,30,2196,3.5
21,20,2909,3.0
16,40,2006,1.5
27,20,2449,1.0
64,20,3662,9.5
62,95,2054,2.5
48,20,2666,2.0
22,95,2141,1.0
15,145,2358,1.0
44,30,2624,7.0
14,40,2223,1.0
68,50,2487,16.5
15,20,1993,1.5
65,0,2252,5.5
18,95,2302,2.0
17,95,2631,1.5
196,40,2351,5.5
9,25,2131,0.5833333333333334
27,20,1944,2.5
9,20,2065,1.0
13,50,2876,2.5
16,95,2139,1.5
62,75,2727,4.5
28,20,2960,1.5
7,20,2797,1.5
35,100,2538,3.0
35,50,2453,2.5
15,200,2060,1.0
33,20,3098,6.0
12,195,2344,1.0
14,20,2525,3.5
16,20,3163,1.5
6,20,2713,1.0
30,100,2160,2.0
17,200,2527,1.0
